epc_code,product_serial,product_name,hub_type,event_type,event_time,Detect
001.8805843.584374.000000149,149,Product 1,Yeongju,aggregation,2025-01-21 18:23,
001.8805843.584374.000000149,149,Product 1,Yeongju,illegal_transfer,2025-01-21 19:11,허용되지 않은 이벤트 발생 감지
001.8805843.584374.000000149,149,Product 1,Yeongju,WMS_outbound,2025-02-18 1:06,
001.8805843.584374.000000149,149,Product 1,Gwangju_donggu,stock_inbound(HUB),2025-02-18 8:50,
001.8805843.584374.000000149,149,Product 1,Gwangju_donggu,stock_outbound(HUB),2025-02-19 22:36,
001.8805843.584374.000000149,149,Product 1,Gwangju_junggu,stock_inbound(Wholesaler),2025-02-20 5:20,
001.8805843.584374.000000149,149,Product 1,Gwangju_junggu,stock_outbound(Wholesaler),2025-03-14 0:54,
001.8805843.584374.000000149,149,Product 1,Gwangju_bukgu,stock_inbound(Reseller),2025-03-14 9:40,
001.8805843.584374.000000149,149,Product 1,Gwangju_bukgu,stock_outbound(Sell),2025-03-23 20:24,
001.8805843.584374.000000150,150,Product 1,Yeongju,commissioning,2025-01-21 17:54,
001.8805843.584374.000000150,150,Product 1,Yeongju,aggregation,2025-01-21 18:19,
001.8805843.584374.000000150,150,Product 1,Yeongju,WMS_inbound,2025-01-21 19:14,
001.8805843.584374.000000150,150,Product 1,Yeongju,illegal_transfer,2025-02-20 11:31,허용되지 않은 이벤트 발생 감지
001.8805843.584374.000000150,150,Product 1,Daegu_bukgu,stock_inbound(HUB),2025-02-20 12:40,
001.8805843.584374.000000150,150,Product 1,Daegu_donggu,stock_outbound(HUB),2025-03-15 4:50,
001.8805843.584374.000000150,150,Product 1,Daegu_donggu,stock_inbound(Wholesaler),2025-03-15 12:29,
001.8805843.584374.000000150,150,Product 1,Daegu_junggu,stock_outbound(Wholesaler),2025-04-20 20:13,
001.8805843.584374.000000150,150,Product 1,Daegu_junggu,stock_inbound(Reseller),2025-04-21 4:26,
001.8805843.584374.000000150,150,Product 1,Daegu_bukgu,stock_outbound(Sell),2025-04-25 16:39,
001.8805843.584374.000000151,151,Product 1,Yeongju,commissioning,2025-01-21 17:54,
001.8805843.584374.000000151,151,Product 1,Yeongju,aggregation,2025-01-21 18:22,
001.8805843.584374.000000151,151,Product 1,Yeongju,WMS_inbound,2025-01-21 19:12,
001.8805843.584374.000000151,151,Product 1,Yeongju,WMS_outbound,2025-02-25 5:24,
001.8805843.584374.000000151,151,Product 1,Daegu_bukgu,stock_outbound(HUB),2025-02-25 13:14,이벤트 순서 오류
001.8805843.584374.000000151,151,Product 1,Daegu_donggu,stock_inbound(HUB),2025-03-28 6:04,
001.8805843.584374.000000151,151,Product 1,Daegu_donggu,stock_inbound(Wholesaler),2025-03-28 15:47,
001.8805843.584374.000000151,151,Product 1,Daegu_junggu,stock_outbound(Wholesaler),2025-04-25 18:15,
001.8805843.584374.000000151,151,Product 1,Daegu_junggu,stock_inbound(Reseller),2025-04-26 2:35,
001.8805843.584374.000000151,151,Product 1,Daegu_bukgu,stock_outbound(Sell),2025-05-30 5:30,
001.8805843.584374.000000152,152,Product 1,Yeongju,commissioning,2025-01-21 17:54,
001.8805843.584374.000000152,152,Product 1,Yeongju,aggregation,2025-01-21 18:02,
001.8805843.584374.000000152,152,Product 1,Yeongju,WMS_inbound,2025-01-21 18:38,
001.8805843.584374.000000152,152,Product 1,Yeongju,stock_outbound(HUB),2025-02-06 17:55,
001.8805843.584374.000000152,152,Product 1,Seoul_donggu,stock_inbound(HUB),2025-02-06 21:04,
001.8805843.584374.000000152,152,Product 1,Seoul_donggu,WMS_outbound,2025-02-24 6:12,이벤트 순서 오류
001.8805843.584374.000000152,152,Product 1,Seoul_junggu,stock_outbound(HUB),2025-02-24 8:25,
001.8805843.584374.000000152,152,Product 1,Seoul_junggu,stock_inbound(Reseller),2025-03-17 23:49,
001.8805843.584374.000000152,152,Product 1,Seoul_bukgu,stock_outbound(Wholesaler),2025-03-18 5:34,
001.8805843.584374.000000152,152,Product 1,Seoul_bukgu,stock_outbound(Sell),2025-04-20 13:54,
001.8805843.584374.000000153,153,Product 1,Yeongju,commissioning,2025-01-21 17:54,
001.8805843.584374.000000153,153,Product 1,Yeongju,custom_inbound,2025-01-21 18:18,국내산(Commissioning 이후 첫 이벤트가 잘못됨) 위조
001.8805843.584374.000000153,153,Product 1,Yeongju,WMS_inbound,2025-01-21 19:09,
001.8805843.584374.000000153,153,Product 1,Yeongju,WMS_outbound,2025-01-23 23:52,
001.8805843.584374.000000153,153,Product 1,Seoul_donggu,stock_inbound(HUB),2025-01-24 8:14,
001.8805843.584374.000000153,153,Product 1,Seoul_donggu,stock_outbound(HUB),2025-01-26 5:29,
001.8805843.584374.000000153,153,Product 1,Seoul_junggu,stock_inbound(Wholesaler),2025-01-26 14:24,
001.8805843.584374.000000153,153,Product 1,Seoul_junggu,stock_outbound(Wholesaler),2025-02-07 11:25,
001.8805843.584374.000000153,153,Product 1,Seoul_bukgu,stock_inbound(Reseller),2025-02-07 18:22,
001.8805843.584374.000000153,153,Product 1,Seoul_bukgu,stock_outbound(Sell),2025-02-08 15:28,
001.8805843.584374.000000154,154,Product 1,Yeongju,commissioning,2025-01-21 17:54,
001.8805843.584374.000000154,154,Product 1,Yeongju,custom_inbound,2025-01-21 17:57,국내산(Commissioning 이후 첫 이벤트가 잘못됨) 위조
001.8805843.584374.000000154,154,Product 1,Yeongju,WMS_inbound,2025-01-21 18:15,
001.8805843.584374.000000154,154,Product 1,Yeongju,WMS_outbound,2025-01-29 4:31,
001.8805843.584374.000000154,154,Product 1,Gwangju_donggu,stock_inbound(HUB),2025-01-29 14:17,
001.8805843.584374.000000154,154,Product 1,Gwangju_donggu,stock_outbound(HUB),2025-02-09 19:53,
001.8805843.584374.000000154,154,Product 1,Gwangju_junggu,stock_inbound(Wholesaler),2025-02-09 21:37,
001.8805843.584374.000000154,154,Product 1,Gwangju_junggu,stock_outbound(Wholesaler),2025-03-02 0:20,
001.8805843.584374.000000154,154,Product 1,Gwangju_bukgu,stock_inbound(Reseller),2025-03-02 2:03,
001.8805843.584374.000000154,154,Product 1,Gwangju_bukgu,stock_outbound(Sell),2025-03-17 14:09,
001.8805843.584374.000000155,155,Product 1,Yeongju,commissioning,2025-01-21 17:54,
001.8805843.584374.000000155,155,Product 1,Yeongju,aggregation,2025-01-21 17:58,
001.8805843.584374.000000155,155,Product 1,Yeongju,WMS_inbound,2025-01-21 18:46,
001.8805843.584374.000000155,155,Product 1,Yeongju,WMS_outbound,2025-01-29 14:47,
001.8805843.584374.000000155,155,Product 1,Daejeon_donggu,stock_outbound(HUB),2025-02-20 18:50,이벤트 순서 오류
001.8805843.584374.000000155,155,Product 1,Daejeon_junggu,stock_inbound(Wholesaler),2025-02-20 23:19,
001.8805843.584374.000000155,155,Product 1,Daejeon_junggu,stock_outbound(Wholesaler),2025-03-23 3:25,
001.8805843.584374.000000155,155,Product 1,Daejeon_bukgu,stock_inbound(Reseller),2025-03-23 10:11,
001.8805843.584374.000000155,155,Product 1,Daejeon_bukgu,stock_outbound(Sell),2025-04-22 22:59,
001.8805843.584374.000000156,156,Product 1,Yeongju,commissioning,2025-01-21 17:54,
001.8805843.584374.000000156,156,Product 1,Yeongju,aggregation,2025-01-21 18:20,
001.8805843.584374.000000156,156,Product 1,Yeongju,WMS_inbound,2025-02-11 19:12,
001.8805843.584374.000000156,156,Product 1,Yeongju,WMS_outbound,2025-02-22 23:08,
001.8805843.584374.000000156,156,Product 1,Daejeon_donggu,stock_inbound(HUB),2025-03-14 8:08,LSTM 오류 감지
001.8805843.584374.000000156,156,Product 1,Daejeon_donggu,stock_outbound(HUB),2025-03-14 5:36,
001.8805843.584374.000000156,156,Product 1,Daejeon_junggu,stock_inbound(Wholesaler),2025-03-14 10:28,
001.8805843.584374.000000156,156,Product 1,Daejeon_junggu,stock_outbound(Wholesaler),2025-03-30 9:02,
001.8805843.584374.000000156,156,Product 1,Daejeon_bukgu,stock_inbound(Reseller),2025-03-30 12:16,
001.8805843.584374.000000156,156,Product 1,Daejeon_bukgu,stock_outbound(Sell),2025-05-02 17:30,
001.8805843.584374.000000157,157,Product 1,Yeongju,commissioning,2025-01-21 17:54,
001.8805843.584374.000000157,157,Product 1,Yeongju,aggregation,2025-01-21 18:06,
001.8805843.584374.000000157,157,Product 1,Yeongju,WMS_inbound,2025-02-06 19:00,
001.8805843.584374.000000157,157,Product 1,Yeongju,WMS_outbound,2025-02-11 1:26,
001.8805843.584374.000000157,157,Product 1,Gwangju_donggu,stock_inbound(HUB),2025-02-11 3:10,
001.8805843.584374.000000157,157,Product 1,Gwangju_donggu,stock_outbound(HUB),2025-03-04 10:12,LSTM 오류 감지
001.8805843.584374.000000157,157,Product 1,Gwangju_junggu,stock_inbound(Wholesaler),2025-03-04 16:33,
001.8805843.584374.000000157,157,Product 1,Gwangju_junggu,stock_outbound(Wholesaler),2025-04-12 13:40,
001.8805843.584374.000000157,157,Product 1,Gwangju_bukgu,stock_inbound(Reseller),2025-04-10 22:43,
001.8805843.584374.000000157,157,Product 1,Gwangju_bukgu,stock_outbound(Sell),2025-04-30 17:41,
001.8805843.584374.000000158,158,Product 1,Yeongju,commissioning,2025-01-21 17:54,
001.8805843.584374.000000158,158,Product 1,Yeongju,aggregation,2025-01-31 18:06,
001.8805843.584374.000000158,158,Product 1,Yeongju,WMS_inbound,2025-01-21 18:22,
001.8805843.584374.000000158,158,Product 1,Yeongju,WMS_outbound,2025-01-28 5:06,
001.8805843.584374.000000158,158,Product 1,Seoul_donggu,stock_inbound(HUB),2025-01-28 9:27,
001.8805843.584374.000000158,158,Product 1,Seoul_donggu,stock_outbound(HUB),2025-02-19 16:20,
001.8805843.584374.000000158,158,Product 1,Seoul_junggu,stock_inbound(Wholesaler),2025-02-19 1:32,
001.8805843.584374.000000158,158,Product 1,Seoul_junggu,stock_outbound(Wholesaler),2025-03-20 2:54,LSTM 오류 감지
001.8805843.584374.000000158,158,Product 1,Seoul_bukgu,stock_inbound(Reseller),2025-03-14 3:54,
001.8805843.584374.000000158,158,Product 1,Seoul_bukgu,stock_outbound(Sell),2025-04-12 18:21,
001.8805843.584374.000000159,159,Product 1,Yeongju,commissioning,2025-01-21 17:54,
001.8805843.584374.000000159,159,Product 1,Yeongju,aggregation,2025-01-31 18:01,LSTM 오류 감지
001.8805843.584374.000000159,159,Product 1,Yeongju,WMS_inbound,2025-01-22 18:50,
001.8805843.584374.000000159,159,Product 1,Yeongju,WMS_outbound,2025-02-19 19:45,
001.8805843.584374.000000159,159,Product 1,Seoul_donggu,stock_inbound(HUB),2025-02-19 23:02,
001.8805843.584374.000000159,159,Product 1,Seoul_donggu,stock_outbound(HUB),2025-02-20 22:22,
001.8805843.584374.000000159,159,Product 1,Seoul_junggu,stock_inbound(Wholesaler),2025-03-19 7:04,
001.8805843.584374.000000159,159,Product 1,Seoul_junggu,stock_outbound(Wholesaler),2025-03-15 12:35,
001.8805843.584374.000000159,159,Product 1,Seoul_bukgu,stock_inbound(Reseller),2025-03-19 14:54,
001.8805843.584374.000000159,159,Product 1,Seoul_bukgu,stock_outbound(Sell),2025-03-25 5:22,
001.8805843.584374.000000160,160,Product 1,Yeongju,commissioning,2025-01-29 17:54,
001.8805843.584374.000000160,160,Product 1,Yeongju,aggregation,2025-01-21 18:08,
001.8805843.584374.000000160,160,Product 1,Yeongju,WMS_inbound,2025-02-04 18:30,
001.8805843.584374.000000160,160,Product 1,Yeongju,WMS_outbound,2025-02-04 8:26,
001.8805843.584374.000000160,160,Product 1,Daegu_donggu,stock_inbound(HUB),2025-02-21 17:04,
001.8805843.584374.000000160,160,Product 1,Daegu_donggu,stock_outbound(HUB),2025-02-21 13:25,LSTM 오류 감지
001.8805843.584374.000000160,160,Product 1,Daegu_junggu,stock_inbound(Wholesaler),2025-02-21 15:32,
001.8805843.584374.000000160,160,Product 1,Daegu_junggu,stock_outbound(Wholesaler),2025-03-22 4:57,
001.8805843.584374.000000160,160,Product 1,Daegu_bukgu,stock_inbound(Reseller),2025-03-22 9:50,
001.8805843.584374.000000160,160,Product 1,Daegu_bukgu,stock_outbound(Sell),2025-03-30 23:11,
001.8805843.584374.000000161,161,Product 1,Yeongju,commissioning,2025-01-21 17:54,
001.8805843.584374.000000161,161,Product 1,Yeongju,aggregation,2025-01-21 18:10,
001.8805843.584374.000000161,161,Product 1,Yeongju,WMS_inbound,2025-01-21 18:49,
001.8805843.584374.000000161,161,Product 1,Yeongju,WMS_outbound,2025-02-15 4:34,
001.8805843.584374.000000161,161,Product 1,Busan_gumjung,stock_outbound(HUB),2025-03-17 11:36,이벤트 순서 오류
001.8805843.584374.000000161,161,Product 1,Busan_yangsan,stock_inbound(Wholesaler),2025-03-17 15:56,
001.8805843.584374.000000161,161,Product 1,Busan_yangsan,stock_outbound(Wholesaler),2025-04-02 5:14,
001.8805843.584374.000000161,161,Product 1,Busan_dongnea,stock_inbound(Reseller),2025-04-02 11:23,
001.8805843.584374.000000161,161,Product 1,Busan_dongnea,stock_outbound(Sell),2025-04-12 2:24,
001.8805843.584374.000000162,162,Product 1,Yeongju,commissioning,2025-01-21 17:54,
001.8805843.584374.000000162,162,Product 1,Yeongju,custom_inbound,2025-01-21 18:01,국내산(Commissioning 이후 첫 이벤트가 잘못됨) 위조
001.8805843.584374.000000162,162,Product 1,Yeongju,WMS_inbound,2025-01-21 18:27,
001.8805843.584374.000000162,162,Product 1,Yeongju,WMS_outbound,2025-02-23 6:15,
001.8805843.584374.000000162,162,Product 1,Seoul_donggu,stock_inbound(HUB),2025-02-23 15:47,
001.8805843.584374.000000162,162,Product 1,Seoul_donggu,stock_outbound(HUB),2025-03-04 10:57,
001.8805843.584374.000000162,162,Product 1,Seoul_junggu,stock_inbound(Wholesaler),2025-03-04 20:51,
001.8805843.584374.000000162,162,Product 1,Seoul_junggu,stock_outbound(Wholesaler),2025-03-06 15:56,
001.8805843.584374.000000162,162,Product 1,Seoul_bukgu,stock_inbound(Reseller),2025-03-06 18:22,
001.8805843.584374.000000162,162,Product 1,Seoul_bukgu,stock_outbound(Sell),2025-04-04 17:41,
001.8805843.584374.000000163,163,Product 1,Yeongju,commissioning,2025-01-21 17:54,
001.8805843.584374.000000163,163,Product 1,Yeongju,stock_inbound(HUB),2025-01-21 18:04,국내산(Commissioning 이후 첫 이벤트가 잘못됨) 위조
001.8805843.584374.000000163,163,Product 1,Yeongju,WMS_inbound,2025-01-21 18:14,
001.8805843.584374.000000163,163,Product 1,Yeongju,WMS_outbound,2025-01-27 11:48,
001.8805843.584374.000000163,163,Product 1,Daegu_bukgu,aggregation,2025-01-27 15:34,
001.8805843.584374.000000163,163,Product 1,Daegu_donggu,stock_outbound(HUB),2025-02-18 11:06,
001.8805843.584374.000000163,163,Product 1,Daegu_donggu,stock_inbound(HUB),2025-02-18 14:08,
001.8805843.584374.000000163,163,Product 1,Daegu_junggu,stock_outbound(Wholesaler),2025-03-03 14:19,
001.8805843.584374.000000163,163,Product 1,Daegu_junggu,stock_inbound(Reseller),2025-03-03 22:10,
001.8805843.584374.000000163,163,Product 1,Daegu_bukgu,stock_outbound(Sell),2025-04-03 19:55,
001.8805843.584374.000000164,164,Product 1,Yeongju,commissioning,2025-01-21 17:54,
001.8805843.584374.000000164,164,Product 1,Yeongju,aggregation,2025-01-21 18:07,
001.8805843.584374.000000164,164,Product 1,Yeongju,WMS_inbound,2025-01-21 18:48,
001.8805843.584374.000000164,164,Product 1,Yeongju,WMS_outbound,2025-01-31 8:43,
001.8805843.584374.000000164,164,Product 1,Seoul_donggu,stock_outbound(HUB),2025-01-31 14:07,이벤트 순서 오류
001.8805843.584374.000000164,164,Product 1,Seoul_donggu,stock_inbound(HUB),2025-02-23 12:36,
001.8805843.584374.000000164,164,Product 1,Seoul_junggu,stock_inbound(Wholesaler),2025-02-23 19:52,
001.8805843.584374.000000164,164,Product 1,Seoul_junggu,stock_outbound(Wholesaler),2025-03-30 5:43,
001.8805843.584374.000000164,164,Product 1,Seoul_bukgu,stock_inbound(Reseller),2025-03-30 9:09,
001.8805843.584374.000000164,164,Product 1,Seoul_bukgu,stock_outbound(Sell),2025-05-03 4:18,
001.8805843.584374.000000165,165,Product 1,Yeongju,commissioning,2025-01-21 17:54,
001.8805843.584374.000000165,165,Product 1,Yeongju,aggregation,2025-01-21 18:13,
001.8805843.584374.000000165,165,Product 1,Kangwon,WMS_inbound,2025-01-21 18:47,허브타입 변경
001.8805843.584374.000000165,165,Product 1,Yeongju,WMS_outbound,2025-02-23 12:46,
001.8805843.584374.000000165,165,Product 1,Gwangju_donggu,stock_inbound(HUB),2025-01-23 19:58,
001.8805843.584374.000000165,165,Product 1,Gwangju_donggu,stock_outbound(HUB),2025-02-10 0:14,
001.8805843.584374.000000165,165,Product 1,Kangwon,stock_inbound(Wholesaler),2025-03-10 8:54,
001.8805843.584374.000000165,165,Product 1,Gwangju_junggu,stock_outbound(Wholesaler),2025-02-26 8:08,
001.8805843.584374.000000165,165,Product 1,Gwangju_junggu,stock_inbound(Reseller),2025-02-26 13:28,
001.8805843.584374.000000165,165,Product 1,Gwangju_bukgu,stock_outbound(Sell),2025-03-23 11:10,
001.6923243.102743.000037501,37501,Product 9,Yeongju,custom_inbound,2025-01-21 17:54,
001.6923243.102743.000037501,37501,Product 9,Yeongju,stock_inbound(HUB),2025-01-24 17:21,이벤트 순서 오류
001.6923243.102743.000037501,37501,Product 9,Busan_gumjung,custom_outbound,2025-01-25 1:23,
001.6923243.102743.000037501,37501,Product 9,Busan_gumjung,stock_inbound(HUB),2025-01-26 18:17,
001.6923243.102743.000037501,37501,Product 9,Busan_yangsan,stock_inbound(Wholesaler),2025-01-26 20:40,
001.6923243.102743.000037501,37501,Product 9,Busan_yangsan,stock_outbound(Wholesaler),2025-02-06 23:06,
001.6923243.102743.000037501,37501,Product 9,Busan_dongnea,stock_inbound(reseller),2025-02-07 8:24,
001.6923243.102743.000037501,37501,Product 9,Busan_dongnea,stock_outbound(sell),2025-03-15 22:54,
001.6923243.102743.000037502,37502,Product 9,Yeongju,custom_inbound,2025-01-21 17:54,
001.6923243.102743.000037502,37502,Product 9,Seoul_donggu,custom_outbound,2025-01-26 22:48,
001.6923243.102743.000037502,37502,Product 9,Kangwon,stock_inbound(HUB),2025-01-27 8:42,
001.6923243.102743.000037502,37502,Product 9,Seoul_donggu,stock_outbound(HUB),2025-02-06 2:32,허브타입 변경
001.6923243.102743.000037502,37502,Product 9,Kangwon,stock_inbound(Wholesaler),2025-02-06 11:42,
001.6923243.102743.000037502,37502,Product 9,Seoul_junggu,stock_outbound(Wholesaler),2025-03-01 13:19,
001.6923243.102743.000037502,37502,Product 9,Seoul_junggu,stock_inbound(reseller),2025-03-01 19:18,
001.6923243.102743.000037502,37502,Product 9,Seoul_bukgu,stock_outbound(sell),2025-03-18 16:34,
001.6923243.102743.000037503,37503,Product 9,Yeongju,custom_inbound,2025-01-21 17:54,
001.6923243.102743.000037503,37503,Product 9,Yeongju,custom_outbound,2025-01-26 10:21,
001.6923243.102743.000037503,37503,Product 9,Seoul_bukgu,stock_inbound(HUB),2025-01-26 17:17,
001.6923243.102743.000037503,37503,Product 9,Daejeon_donggu,stock_outbound(HUB),2025-02-24 13:05,허브타입 변경
001.6923243.102743.000037503,37503,Product 9,Seoul_donggu,stock_inbound(Wholesaler),2025-02-24 16:55,
001.6923243.102743.000037503,37503,Product 9,Daejeon_donggu,stock_outbound(Wholesaler),2025-03-11 0:45,
001.6923243.102743.000037503,37503,Product 9,Seoul_donggu,stock_inbound(reseller),2025-03-01 3:58,
001.6923243.102743.000037503,37503,Product 9,Seoul_junggu,stock_outbound(sell),2025-03-21 21:22,
001.6923243.102743.000037504,37504,Product 9,Yeongju,custom_inbound,2025-01-21 17:54,
001.6923243.102743.000037504,37504,Product 9,Yeongju,custom_outbound,2025-01-22 0:42,
001.6923243.102743.000037504,37504,Product 9,Busan_gumjung,stock_inbound(HUB),2025-01-22 3:31,
001.6923243.102743.000037504,37504,Product 9,Busan_gumjung,stock_outbound(HUB),2025-02-11 14:29,
001.6923243.102743.000037504,37504,Product 9,Busan_yangsan,stock_outbound(Wholesaler),2025-02-11 17:20,이벤트 순서 오류
001.6923243.102743.000037504,37504,Product 9,Busan_yangsan,stock_outbound(Wholesaler),2025-03-06 3:21,
001.6923243.102743.000037504,37504,Product 9,Busan_dongnea,stock_inbound(reseller),2025-03-06 10:25,
001.6923243.102743.000037504,37504,Product 9,Busan_dongnea,stock_outbound(sell),2025-03-24 6:25,
001.6923243.102743.000037505,37505,Product 9,Yeongju,custom_inbound,2025-01-21 17:54,
001.6923243.102743.000037505,37505,Product 9,Yeongju,custom_outbound,2025-01-26 22:08,
001.6923243.102743.000037505,37505,Product 9,Daejeon_junggu,stock_inbound(HUB),2025-01-26 23:16,
001.6923243.102743.000037505,37505,Product 9,Daejeon_junggu,stock_outbound(HUB),2025-02-06 3:53,이벤트 누락
001.6923243.102743.000037505,37505,Product 9,Daejeon_bukgu,stock_outbound(Wholesaler),2025-03-03 4:59,
001.6923243.102743.000037505,37505,Product 9,Daejeon_bukgu,stock_inbound(reseller),2025-03-03 8:09,
001.6923243.102743.000037505,37505,Product 9,Daejeon_donggu,stock_outbound(sell),2025-03-25 16:18,
001.6923243.102743.000037506,37506,Product 9,Yeongju,custom_inbound,2025-01-21 17:54,
001.6923243.102743.000037506,37506,Product 9,Yeongju,custom_outbound,2025-01-26 14:40,
001.6923243.102743.000037506,37506,Product 9,Busan_gumjung,stock_outbound(HUB),2025-01-26 16:46,이벤트 순서 오류
001.6923243.102743.000037506,37506,Product 9,Busan_gumjung,stock_inbound(HUB),2025-02-13 0:42,
001.6923243.102743.000037506,37506,Product 9,Busan_yangsan,stock_outbound(Wholesaler),2025-02-13 3:03,
001.6923243.102743.000037506,37506,Product 9,Busan_yangsan,stock_inbound(Wholesaler),2025-02-13 23:21,
001.6923243.102743.000037506,37506,Product 9,Busan_dongnea,stock_inbound(reseller),2025-02-14 1:57,
001.6923243.102743.000037506,37506,Product 9,Busan_dongnea,stock_outbound(sell),2025-03-11 3:01,
001.6923243.102743.000037507,37507,Product 9,Yeongju,custom_inbound,2025-01-21 17:54,
001.6923243.102743.000037507,37507,Product 9,Yeongju,custom_outbound,2025-01-23 20:18,
001.6923243.102743.000037507,37507,Product 9,Daejeon_donggu,stock_inbound(HUB),2025-01-31 2:29,LSTM 오류 감지
001.6923243.102743.000037507,37507,Product 9,Daejeon_junggu,stock_outbound(HUB),2025-02-06 23:53,
001.6923243.102743.000037507,37507,Product 9,Daejeon_junggu,stock_inbound(Wholesaler),2025-02-17 4:30,
001.6923243.102743.000037507,37507,Product 9,Daejeon_bukgu,stock_outbound(Wholesaler),2025-02-11 12:35,
001.6923243.102743.000037507,37507,Product 9,Daejeon_bukgu,stock_inbound(reseller),2025-02-11 19:37,
001.6923243.102743.000037507,37507,Product 9,Daejeon_donggu,stock_outbound(sell),2025-03-15 19:50,
001.6923243.102743.000037508,37508,Product 9,Yeongju,custom_inbound,2025-01-21 17:54,
001.6923243.102743.000037508,37508,Product 9,Yeongju,custom_outbound,2025-01-25 14:17,
001.6923243.102743.000037508,37508,Product 9,Seoul_junggu,stock_inbound(HUB),2025-01-31 17:30,LSTM 오류 감지
001.6923243.102743.000037508,37508,Product 9,Seoul_bukgu,stock_outbound(HUB),2025-02-08 20:28,
001.6923243.102743.000037508,37508,Product 9,Seoul_bukgu,stock_inbound(Wholesaler),2025-02-28 21:39,
